trunc,event_name,path,selection_name,odds
2011-02-11,Match Odds,NAB Cup 2011/Week 1/Pool 1 - 11 February/1. Adelaide v Melbourne,Adelaide Crows,1.5495
2011-02-11,Match Odds,NAB Cup 2011/Week 1/Pool 1 - 11 February/1. Adelaide v Melbourne,Melbourne Demons,2.7832
2011-02-11,Match Odds,NAB Cup 2011/Week 1/Pool 1 - 11 February/2. Melbourne v Port Adelaide,Melbourne Demons,1.9211
2011-02-11,Match Odds,NAB Cup 2011/Week 1/Pool 1 - 11 February/2. Melbourne v Port Adelaide,Port Adelaide Power,2.0457
2011-02-11,Match Odds,NAB Cup 2011/Week 1/Pool 1 - 11 February/3. Adelaide v Port Adelaide,Adelaide Crows,1.5587
2011-02-11,Match Odds,NAB Cup 2011/Week 1/Pool 1 - 11 February/3. Adelaide v Port Adelaide,Port Adelaide Power,2.7319
2011-02-12,Match Odds,NAB Cup 2011/Week 1/Pool 2 - 12 February/1. Carlton v Richmond,Carlton Blues,1.4552
2011-02-12,Match Odds,NAB Cup 2011/Week 1/Pool 2 - 12 February/1. Carlton v Richmond,Richmond Tigers,2.8802
2011-02-12,Match Odds,NAB Cup 2011/Week 1/Pool 2 - 12 February/2. Richmond v Collingwood,Collingwood Magpies,1.229
2011-02-12,Match Odds,NAB Cup 2011/Week 1/Pool 2 - 12 February/2. Richmond v Collingwood,Richmond Tigers,4.8079
2011-02-12,Match Odds,NAB Cup 2011/Week 1/Pool 2 - 12 February/3. Carlton v Collingwood,Carlton Blues,2.8687
2011-02-12,Match Odds,NAB Cup 2011/Week 1/Pool 2 - 12 February/3. Carlton v Collingwood,Collingwood Magpies,1.5233
2011-02-13,Match Odds,NAB Cup 2011/Week 1/Pool 3 - 13 February/1. West Coast v Hawthorn,Hawthorn Hawks,3.8526
2011-02-13,Match Odds,NAB Cup 2011/Week 1/Pool 3 - 13 February/1. West Coast v Hawthorn,West Coast Eagles,1.3423
2011-02-13,Match Odds,NAB Cup 2011/Week 1/Pool 3 - 13 February/2. Hawthorn v Fremantle,Fremantle Dockers,1.2051
2011-02-13,Match Odds,NAB Cup 2011/Week 1/Pool 3 - 13 February/2. Hawthorn v Fremantle,Hawthorn Hawks,5.2045
2011-02-13,Match Odds,NAB Cup 2011/Week 1/Pool 3 - 13 February/3. West Coast v Fremantle,Fremantle Dockers,1.6487
2011-02-13,Match Odds,NAB Cup 2011/Week 1/Pool 3 - 13 February/3. West Coast v Fremantle,West Coast Eagles,2.4979
2011-02-18,Match Odds,NAB Cup 2011/Week 2/Pool 4 - 18 February/1. Essendon v Brisbane,Brisbane Lions,4.6243
2011-02-18,Match Odds,NAB Cup 2011/Week 2/Pool 4 - 18 February/1. Essendon v Brisbane,Essendon Bombers,1.2427
2011-02-18,Match Odds,NAB Cup 2011/Week 2/Pool 4 - 18 February/2. Brisbane v St Kilda,Brisbane Lions,6.5178
2011-02-18,Match Odds,NAB Cup 2011/Week 2/Pool 4 - 18 February/2. Brisbane v St Kilda,St Kilda Saints,1.1865
2011-02-18,Match Odds,NAB Cup 2011/Week 2/Pool 4 - 18 February/3. Essendon v St Kilda,Essendon Bombers,2.0038
2011-02-18,Match Odds,NAB Cup 2011/Week 2/Pool 4 - 18 February/3. Essendon v St Kilda,St Kilda Saints,1.8906
2011-02-19,Match Odds,NAB Cup 2011/Week 2/Pool 5 - 19 February/1. GWS v Sydney,Greater Western Sydney Giants,15.1087
2011-02-19,Match Odds,NAB Cup 2011/Week 2/Pool 5 - 19 February/1. GWS v Sydney,Sydney Swans,1.0611
2011-02-19,Match Odds,NAB Cup 2011/Week 2/Pool 5 - 19 February/2. Sydney v Gold Coast,Gold Coast Suns,4.9328
2011-02-19,Match Odds,NAB Cup 2011/Week 2/Pool 5 - 19 February/2. Sydney v Gold Coast,Sydney Swans,1.2433
2011-02-19,Match Odds,NAB Cup 2011/Week 2/Pool 5 - 19 February/3. Gold Coast v GWS,Gold Coast Suns,1.0931
2011-02-19,Match Odds,NAB Cup 2011/Week 2/Pool 5 - 19 February/3. Gold Coast v GWS,Greater Western Sydney Giants,10.0207
2011-02-20,Match Odds,NAB Cup 2011/Week 2/Pool 6 - 20 February/1. Geelong v North Melbourne,Geelong Cats,1.4181
2011-02-20,Match Odds,NAB Cup 2011/Week 2/Pool 6 - 20 February/1. Geelong v North Melbourne,North Melbourne Kangaroos,3.3062
2011-02-20,Match Odds,NAB Cup 2011/Week 2/Pool 6 - 20 February/2. North Melbourne v Western Bulldogs,North Melbourne Kangaroos,3.0128
2011-02-20,Match Odds,NAB Cup 2011/Week 2/Pool 6 - 20 February/2. North Melbourne v Western Bulldogs,Western Bulldogs,1.4867
2011-02-20,Match Odds,NAB Cup 2011/Week 2/Pool 6 - 20 February/3. Geelong v Western Bulldogs,Geelong Cats,1.7877
2011-02-20,Match Odds,NAB Cup 2011/Week 2/Pool 6 - 20 February/3. Geelong v Western Bulldogs,Western Bulldogs,2.2043
2011-02-24,Match Odds,NAB Cup 2011/Round 2/Fixtures 24 February/Melbourne v Essendon,Essendon Bombers,2.2399
2011-02-24,Match Odds,NAB Cup 2011/Round 2/Fixtures 24 February/Melbourne v Essendon,Melbourne Demons,1.7703
2011-02-25,Match Odds,NAB Cup 2011/Round 2/Fixtures 25 February/Collingwood v Sydney,Collingwood Magpies,1.2981
