Date,Season,Round,Venue,Player,Team,Opposition,Status,GA,Match_id,CP,UP,ED,DE,CM,MI5,One.Percenters,BO,CCL,SCL,SI,MG,TO,ITC,T5,TOG,K,HB,D,M,G,B,T,HO,I50,CL,CG,R50,FF,FA,AF,SC
22/03/2018,2018,Round 1,MCG,Dustin Martin,Richmond,Carlton,Home,2,9514,17,15,23,71.9,2,2,1,0,4,2,13,567,5,2,0,87,20,12,32,5,1,3,1,0,6,6,3,0,1,1,110,139
22/03/2018,2018,Round 1,MCG,Trent Cotchin,Richmond,Carlton,Home,2,9514,13,12,15,62.5,0,1,1,0,2,5,10,293,5,3,1,81,14,10,24,2,0,0,4,0,5,7,2,0,2,0,86,94
22/03/2018,2018,Round 1,MCG,Josh Caddy,Richmond,Carlton,Home,0,9514,11,10,14,73.7,1,2,0,1,3,1,6,424,2,1,0,80,13,6,19,5,3,2,2,0,8,4,2,0,5,0,99,84
22/03/2018,2018,Round 1,MCG,Kamdyn Mcintosh,Richmond,Carlton,Home,0,9514,3,15,11,57.9,0,1,1,1,1,0,7,644,5,4,0,69,19,0,19,5,0,1,1,0,8,1,5,3,0,1,74,50
22/03/2018,2018,Round 1,MCG,Jack Riewoldt,Richmond,Carlton,Home,2,9514,5,14,12,66.7,1,5,1,0,0,0,13,322,3,1,0,96,12,6,18,7,4,2,1,0,6,0,2,0,1,0,100,101
22/03/2018,2018,Round 1,MCG,Brandon Ellis,Richmond,Carlton,Home,0,9514,3,14,13,72.2,0,0,0,2,0,0,6,417,5,5,0,79,11,7,18,3,0,1,3,0,4,0,5,2,0,0,69,51
22/03/2018,2018,Round 1,MCG,Shaun Grigg,Richmond,Carlton,Home,1,9514,2,15,12,70.6,0,0,1,0,0,2,7,197,3,1,0,83,7,10,17,4,0,1,2,0,2,2,4,0,0,1,59,45
22/03/2018,2018,Round 1,MCG,Shane Edwards,Richmond,Carlton,Home,0,9514,9,7,14,87.5,1,0,2,0,0,2,5,270,4,6,0,75,5,11,16,3,0,0,4,0,4,2,1,3,0,0,62,79
22/03/2018,2018,Round 1,MCG,David Astbury,Richmond,Carlton,Home,0,9514,9,8,15,93.8,3,0,4,0,0,1,7,330,2,8,0,100,9,7,16,7,0,0,2,0,0,1,2,5,1,1,68,104
22/03/2018,2018,Round 1,MCG,Reece Conca,Richmond,Carlton,Home,0,9514,6,10,10,62.5,0,0,1,1,1,1,5,334,5,4,1,77,9,7,16,0,0,0,7,0,6,2,7,2,0,2,63,64
22/03/2018,2018,Round 1,MCG,Jayden Short,Richmond,Carlton,Home,1,9514,4,12,13,81.2,0,0,1,4,0,1,4,419,2,3,0,79,12,4,16,2,0,1,1,0,4,1,1,2,0,1,52,76
22/03/2018,2018,Round 1,MCG,Alex Rance,Richmond,Carlton,Home,0,9514,8,5,12,80,1,0,6,2,0,0,4,327,4,10,0,100,9,6,15,3,0,0,1,0,0,0,2,5,3,0,55,83
