"Date","Season","Round","Venue","Player","Team","Opposition","Status","GA","Match_id","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","CCL","SCL","SI","MG","TO","ITC","T5","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC"
2018-08-03,2018,"Round 20","MCG","Kane Lambert","Richmond","Geelong","Home",2,9676,14,17,20,64.5,0,0,3,0,1,2,8,453,8,8,0,86,14,17,31,6,0,1,7,0,8,3,4,2,0,1,120,113
2018-08-03,2018,"Round 20","MCG","Dustin Martin","Richmond","Geelong","Home",2,9676,17,8,14,53.8,1,0,2,1,5,5,6,569,7,4,2,86,23,3,26,4,0,2,6,0,10,10,3,1,1,0,114,111
2018-08-03,2018,"Round 20","MCG","Trent Cotchin","Richmond","Geelong","Home",0,9676,11,7,11,57.9,0,0,4,0,2,2,3,342,2,2,1,77,16,3,19,3,1,0,9,0,1,4,1,0,0,0,105,102
2018-08-03,2018,"Round 20","MCG","Brandon Ellis","Richmond","Geelong","Home",0,9676,9,8,16,88.9,0,0,1,0,1,0,1,225,4,9,0,83,10,8,18,3,0,0,4,0,1,1,2,3,1,0,72,78
2018-08-03,2018,"Round 20","MCG","Toby Nankervis","Richmond","Geelong","Home",1,9676,8,6,7,38.9,0,0,2,0,1,3,6,319,6,2,1,81,15,3,18,3,1,1,3,33,3,4,5,1,1,2,107,96
2018-08-03,2018,"Round 20","MCG","Connor Menadue","Richmond","Geelong","Home",0,9676,9,10,12,66.7,0,0,1,0,0,1,1,295,6,11,0,72,11,7,18,2,0,0,2,0,1,1,3,0,0,1,58,59
2018-08-03,2018,"Round 20","MCG","Jack Higgins","Richmond","Geelong","Home",0,9676,13,5,8,44.4,1,0,3,0,0,4,5,280,1,3,0,63,11,7,18,2,1,2,2,0,3,4,3,1,2,1,68,74
2018-08-03,2018,"Round 20","MCG","Sam Lloyd","Richmond","Geelong","Home",2,9676,8,9,13,76.5,0,1,3,0,0,2,3,284,3,3,1,69,8,9,17,2,1,0,7,0,4,2,2,1,0,1,79,99
2018-08-03,2018,"Round 20","MCG","Shaun Grigg","Richmond","Geelong","Home",0,9676,4,9,11,73.3,0,0,0,0,0,2,5,282,3,4,0,84,11,4,15,4,0,0,4,6,4,2,1,4,1,1,73,75
2018-08-03,2018,"Round 20","MCG","Shane Edwards","Richmond","Geelong","Home",1,9676,13,4,11,73.3,0,0,2,0,3,2,4,363,1,3,1,76,8,7,15,3,0,0,5,0,1,5,2,1,1,1,65,92
