date,team_1,team_2,team_1_goals,team_2_goals,tournament,is_team_1_home,is_team_2_home,is_neutral
15/07/1998,Ukraine,Poland,1,2,Friendly,TRUE,FALSE,FALSE
18/07/1998,Malawi,Zimbabwe,1,0,Friendly,TRUE,FALSE,FALSE
18/07/1998,Uganda,Kenya,3,3,Friendly,TRUE,FALSE,FALSE
20/07/1998,Malawi,Zimbabwe,0,0,Friendly,TRUE,FALSE,FALSE
22/07/1998,Senegal,Cape Verde,1,0,Friendly,TRUE,FALSE,FALSE
24/07/1998,Burkina Faso,Niger,1,0,Friendly,TRUE,FALSE,FALSE
25/07/1998,Benin,Ghana,0,1,Friendly,TRUE,FALSE,FALSE
26/07/1998,Niger,Ivory Coast,1,0,Friendly,TRUE,FALSE,FALSE
26/07/1998,Senegal,Mali,3,1,Friendly,TRUE,FALSE,FALSE
30/07/1998,Guam,Northern Mariana Islands,2,1,Friendly,FALSE,FALSE,TRUE
31/07/1998,Kenya,Djibouti,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
31/07/1998,Libya,Algeria,0,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
1/08/1998,Namibia,Malawi,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
1/08/1998,Palau,Guam,2,15,Friendly,TRUE,FALSE,FALSE
1/08/1998,Uganda,Rwanda,5,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Botswana,Mozambique,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Burundi,Tanzania,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Chad,Congo,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Equatorial Guinea,Gabon,0,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Lesotho,Mauritius,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Mali,Cape Verde,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Niger,Liberia,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/08/1998,Sao Tome and Principe,Togo,0,4,African Cup of Nations 2000 Qualifiers,FALSE,FALSE,TRUE
2/08/1998,Swaziland,Madagascar,1,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/08/1998,Guam,Northern Mariana Islands,0,3,Friendly,FALSE,FALSE,TRUE
9/08/1998,Benin,Niger,1,1,Friendly,TRUE,FALSE,FALSE
12/08/1998,Azerbaijan,Georgia,1,0,Friendly,TRUE,FALSE,FALSE
14/08/1998,Algeria,Libya,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/08/1998,Kenya,Djibouti,9,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/08/1998,Malawi,Namibia,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/08/1998,Mozambique,Botswana,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/08/1998,Tanzania,Burundi,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/08/1998,Thailand,Uzbekistan,4,1,Friendly,TRUE,FALSE,FALSE
16/08/1998,Angola,Benin,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/08/1998,Cape Verde,Mali,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/08/1998,Congo,Chad,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/08/1998,Gabon,Equatorial Guinea,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/08/1998,Liberia,Niger,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/08/1998,Lithuania,Moldova,1,1,Friendly,TRUE,FALSE,FALSE
16/08/1998,Rwanda,Uganda,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
18/08/1998,Armenia,Lebanon,1,0,Friendly,TRUE,FALSE,FALSE
18/08/1998,Poland,Israel,2,0,Friendly,TRUE,FALSE,FALSE
18/08/1998,Togo,Sao Tome and Principe,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
19/08/1998,Austria,France,2,2,Friendly,TRUE,FALSE,FALSE
19/08/1998,Bosnia-Herzegovina,Faroe Islands,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
19/08/1998,Cyprus,Albania,3,2,Friendly,TRUE,FALSE,FALSE
19/08/1998,Czech Republic,Denmark,1,0,Friendly,TRUE,FALSE,FALSE
19/08/1998,Hungary,Slovenia,2,1,Friendly,TRUE,FALSE,FALSE
19/08/1998,Iceland,Latvia,4,1,Friendly,TRUE,FALSE,FALSE
19/08/1998,Lithuania,Belarus,0,3,Friendly,TRUE,FALSE,FALSE
19/08/1998,Norway,Romania,0,0,Friendly,TRUE,FALSE,FALSE
19/08/1998,Portugal,Mozambique,2,1,Friendly,TRUE,FALSE,FALSE
