"Date","Season","Season.Game","Round","Home.Team","Away.Team","Venue"
2018-03-22 19:25:00,2018,1,NA,"Richmond","Carlton","MCG"
2018-03-23 19:50:00,2018,2,NA,"Essendon","Adelaide","Etihad Stadium"
2018-03-24 15:35:00,2018,3,NA,"St Kilda","Brisbane Lions","Etihad Stadium"
2018-03-24 16:05:00,2018,4,NA,"Port Adelaide","Fremantle","Adelaide Oval"
2018-03-24 18:25:00,2018,5,NA,"Gold Coast","North Melbourne","Cazaly's Stadium"
2018-03-24 19:25:00,2018,6,NA,"Hawthorn","Collingwood","MCG"
2018-03-25 13:10:00,2018,7,NA,"GWS","Footscray","Manuka Oval"
2018-03-25 15:20:00,2018,8,NA,"Melbourne","Geelong","MCG"
2018-03-25 16:20:00,2018,9,NA,"West Coast","Sydney","Optus Stadium"
2018-03-29 19:20:00,2018,10,NA,"Adelaide","Richmond","Adelaide Oval"
2018-03-30 16:20:00,2018,11,NA,"North Melbourne","St Kilda","Etihad Stadium"
2018-03-31 13:45:00,2018,12,NA,"Carlton","Gold Coast","Etihad Stadium"
2018-03-31 16:35:00,2018,13,NA,"Collingwood","GWS","MCG"
2018-03-31 17:10:00,2018,14,NA,"Fremantle","Essendon","Optus Stadium"
2018-03-31 18:25:00,2018,15,NA,"Brisbane Lions","Melbourne","Gabba"
2018-04-01 15:20:00,2018,16,NA,"Footscray","West Coast","Etihad Stadium"
2018-04-01 16:40:00,2018,17,NA,"Sydney","Port Adelaide","SCG"
2018-04-02 15:20:00,2018,18,NA,"Geelong","Hawthorn","MCG"
2018-04-06 19:50:00,2018,19,NA,"Carlton","Collingwood","MCG"
2018-04-07 13:15:00,2018,20,NA,"Port Adelaide","Brisbane Lions","Adelaide Oval"
2018-04-07 14:10:00,2018,21,NA,"Melbourne","North Melbourne","MCG"
2018-04-07 14:35:00,2018,22,NA,"Gold Coast","Fremantle","Optus Stadium"
2018-04-07 19:25:00,2018,23,NA,"St Kilda","Adelaide","Etihad Stadium"
2018-04-07 19:25:00,2018,24,NA,"Sydney","GWS","SCG"
2018-04-08 13:10:00,2018,25,NA,"Richmond","Hawthorn","MCG"
2018-04-08 14:40:00,2018,26,NA,"West Coast","Geelong","Optus Stadium"
2018-04-08 15:20:00,2018,27,NA,"Footscray","Essendon","Etihad Stadium"
2018-04-13 19:20:00,2018,28,NA,"Adelaide","Collingwood","Adelaide Oval"
2018-04-14 13:45:00,2018,29,NA,"GWS","Fremantle","Manuka Oval"
2018-04-14 14:10:00,2018,30,NA,"Richmond","Brisbane Lions","MCG"
2018-04-14 16:35:00,2018,31,NA,"Footscray","Sydney","Etihad Stadium"
2018-04-14 18:10:00,2018,32,NA,"West Coast","Gold Coast","Optus Stadium"
2018-04-14 19:25:00,2018,33,NA,"North Melbourne","Carlton","Blundstone Arena"
2018-04-15 13:10:00,2018,34,NA,"Essendon","Port Adelaide","Etihad Stadium"
2018-04-15 15:20:00,2018,35,NA,"Hawthorn","Melbourne","MCG"
2018-04-15 16:40:00,2018,36,NA,"Geelong","St Kilda","GMHBA Stadium"
2018-04-20 19:50:00,2018,37,NA,"Sydney","Adelaide","SCG"
2018-04-21 13:45:00,2018,38,NA,"St Kilda","GWS","Etihad Stadium"
2018-04-21 16:35:00,2018,39,NA,"Carlton","West Coast","MCG"
2018-04-21 18:15:00,2018,40,NA,"Fremantle","Footscray","Optus Stadium"
2018-04-21 19:10:00,2018,41,NA,"Port Adelaide","Geelong","Adelaide Oval"
2018-04-22 15:20:00,2018,42,NA,"North Melbourne","Hawthorn","Etihad Stadium"
2018-04-22 16:45:00,2018,43,NA,"Brisbane Lions","Gold Coast","Gabba"
2018-04-24 19:25:00,2018,44,NA,"Melbourne","Richmond","MCG"
2018-04-25 15:20:00,2018,45,NA,"Collingwood","Essendon","MCG"
