AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Month,Referee,VCA,VCD,VCH,WHA,WHD,WHH,Year,season
6.0,14.0,1.0,11.0,5.0,1.0,Blackburn,2.75,3.2,2.5,2.9,3.3,2.2,55.0,20.0,0.0,1.71,2.02,2.74,2.04,1.82,3.16,2.4,1.8,2.25,2.9,2.08,1.86,3.35,2.6,35.0,2005-08-13,13,E0,1.0,3.0,H,2.0,11.0,0.0,13.0,5.0,1.0,0.0,A,0.0,West Ham,2.7,3.0,2.3,2.75,3.0,2.38,08,A Wiley,2.75,3.25,2.4,2.62,3.2,2.3,05,0506
8.0,16.0,0.0,13.0,6.0,2.0,Bolton,3.0,3.25,2.3,3.15,3.25,2.1,56.0,22.0,-0.25,1.7,2.01,3.05,1.84,2.01,3.16,2.2,1.87,2.2,3.4,1.92,2.1,3.3,2.4,36.0,2005-08-13,13,E0,2.0,2.0,D,7.0,14.0,0.0,3.0,2.0,2.0,2.0,D,0.0,Aston Villa,3.1,3.0,2.1,3.2,3.0,2.1,08,M Riley,3.1,3.25,2.2,2.8,3.2,2.2,05,0506
6.0,14.0,0.0,12.0,5.0,1.0,Man United,1.72,3.4,5.0,1.75,3.35,4.35,56.0,23.0,0.75,1.79,1.93,1.69,1.86,2.0,3.36,4.69,1.87,2.1,1.8,1.93,2.05,3.7,5.65,36.0,2005-08-13,13,E0,2.0,0.0,A,8.0,15.0,0.0,10.0,5.0,1.0,0.0,A,3.0,Everton,1.8,3.1,3.8,1.83,3.2,3.75,08,G Poll,1.8,3.3,4.5,1.72,3.2,4.33,05,0506
6.0,13.0,0.0,7.0,4.0,2.0,Birmingham,2.87,3.25,2.37,2.8,3.2,2.3,56.0,21.0,0.0,1.69,2.04,2.87,2.05,1.81,3.16,2.31,1.77,2.24,3.05,2.11,1.85,3.3,2.6,36.0,2005-08-13,13,E0,0.0,0.0,D,6.0,12.0,0.0,15.0,7.0,0.0,0.0,D,1.0,Fulham,2.9,3.0,2.2,2.88,3.0,2.25,08,R Styles,2.8,3.25,2.35,2.62,3.2,2.3,05,0506
6.0,11.0,0.0,13.0,3.0,3.0,West Brom,5.0,3.4,1.72,4.8,3.45,1.65,55.0,23.0,-0.75,1.77,1.94,4.79,1.76,2.1,3.38,1.69,1.9,2.1,5.6,1.83,2.19,3.63,1.8,36.0,2005-08-13,13,E0,0.0,0.0,D,3.0,13.0,0.0,15.0,8.0,0.0,0.0,D,2.0,Man City,4.2,3.2,1.7,4.5,3.25,1.67,08,C Foy,5.0,3.25,1.75,4.33,3.3,1.7,05,0506
0.0,11.0,0.0,16.0,7.0,3.0,Liverpool,2.4,3.2,2.87,2.2,3.35,2.9,56.0,21.0,0.25,1.71,2.02,2.35,2.0,1.86,3.17,2.81,1.8,2.23,2.5,2.04,1.89,3.35,3.3,36.0,2005-08-13,13,E0,0.0,0.0,D,5.0,17.0,1.0,4.0,2.0,0.0,0.0,D,2.0,Middlesbrough,2.5,3.0,2.5,2.3,3.1,2.75,08,M Halsey,2.35,3.25,2.8,2.3,3.1,2.75,05,0506
2.0,23.0,0.0,11.0,6.0,2.0,Tottenham,2.5,3.2,2.75,2.4,3.25,2.65,56.0,21.0,0.25,1.75,1.96,2.35,1.99,1.87,3.18,2.79,1.84,2.1,2.5,2.03,1.95,3.3,3.25,36.0,2005-08-13,13,E0,2.0,0.0,A,7.0,13.0,0.0,11.0,7.0,1.0,0.0,A,0.0,Portsmouth,2.5,3.0,2.5,2.25,3.2,2.75,08,B Knight,2.4,3.25,2.75,2.3,3.2,2.62,05,0506
5.0,17.0,1.0,14.0,4.0,0.0,Charlton,2.9,3.2,2.37,2.85,3.25,2.25,55.0,21.0,-0.25,1.74,1.98,2.82,1.83,2.03,3.17,2.33,1.82,2.12,3.05,1.86,2.07,3.35,2.6,35.0,2005-08-13,13,E0,3.0,1.0,A,5.0,15.0,0.0,12.0,8.0,1.0,1.0,D,2.0,Sunderland,2.9,3.0,2.2,2.75,3.0,2.38,08,H Webb,2.75,3.25,2.4,2.62,3.2,2.3,05,0506
3.0,17.0,1.0,2.0,1.0,1.0,Newcastle,8.0,4.2,1.4,9.0,4.0,1.35,54.0,22.0,-1.25,2.01,1.7,7.36,1.83,2.03,3.91,1.42,2.25,1.8,8.73,1.89,2.08,4.45,1.5,36.0,2005-08-14,14,E0,0.0,2.0,H,8.0,15.0,0.0,15.0,12.0,0.0,0.0,D,0.0,Arsenal,5.4,3.8,1.45,7.0,3.75,1.4,08,S Bennett,7.5,3.8,1.45,7.0,3.75,1.4,05,0506
6.0,7.0,0.0,20.0,9.0,0.0,Chelsea,1.33,4.5,10.0,1.3,4.6,9.0,54.0,20.0,1.5,1.95,1.76,1.32,1.91,1.92,4.32,9.05,2.11,1.88,1.4,2.0,2.0,5.0,12.5,34.0,2005-08-14,14,E0,1.0,0.0,A,2.0,14.0,0.0,12.0,5.0,0.0,0.0,D,1.0,Wigan,1.4,3.9,6.0,1.33,4.0,8.0,08,M Clattenburg,1.3,4.5,11.0,1.28,4.5,8.0,05,0506
