Date,HomeTeam,AwayTeam,FTHG,FTAG,gameId,season
18/08/2001,Charlton,Everton,1,2,0,20012002
18/08/2001,Derby,Blackburn,2,1,1,20012002
18/08/2001,Leeds,Southampton,2,0,2,20012002
18/08/2001,Leicester,Bolton,0,5,3,20012002
18/08/2001,Liverpool,West Ham,2,1,4,20012002
18/08/2001,Middlesbrough,Arsenal,0,4,5,20012002
18/08/2001,Sunderland,Ipswich,1,0,6,20012002
18/08/2001,Tottenham,Aston Villa,0,0,7,20012002
19/08/2001,Chelsea,Newcastle,1,1,8,20012002
19/08/2001,Man United,Fulham,3,2,9,20012002
20/08/2001,Everton,Tottenham,1,1,10,20012002
21/08/2001,Arsenal,Leeds,1,2,11,20012002
21/08/2001,Bolton,Middlesbrough,1,0,12,20012002
21/08/2001,Ipswich,Derby,3,1,13,20012002
22/08/2001,Blackburn,Man United,2,2,14,20012002
22/08/2001,Fulham,Sunderland,2,0,15,20012002
25/08/2001,Arsenal,Leicester,4,0,16,20012002
25/08/2001,Blackburn,Tottenham,2,1,17,20012002
25/08/2001,Everton,Middlesbrough,2,0,18,20012002
25/08/2001,Fulham,Derby,0,0,19,20012002
25/08/2001,Ipswich,Charlton,0,1,20,20012002
25/08/2001,Southampton,Chelsea,0,2,21,20012002
25/08/2001,West Ham,Leeds,0,0,22,20012002
26/08/2001,Aston Villa,Man United,1,1,23,20012002
26/08/2001,Newcastle,Sunderland,1,1,24,20012002
27/08/2001,Bolton,Liverpool,2,1,25,20012002
8/09/2001,Chelsea,Arsenal,1,1,26,20012002
8/09/2001,Derby,West Ham,0,0,27,20012002
8/09/2001,Leeds,Bolton,0,0,28,20012002
8/09/2001,Leicester,Ipswich,1,1,29,20012002
8/09/2001,Liverpool,Aston Villa,1,3,30,20012002
8/09/2001,Man United,Everton,4,1,31,20012002
8/09/2001,Middlesbrough,Newcastle,1,4,32,20012002
8/09/2001,Sunderland,Blackburn,1,0,33,20012002
9/09/2001,Charlton,Fulham,1,1,34,20012002
9/09/2001,Tottenham,Southampton,2,0,35,20012002
15/09/2001,Bolton,Southampton,0,1,36,20012002
15/09/2001,Derby,Leicester,2,3,37,20012002
15/09/2001,Everton,Liverpool,1,3,38,20012002
15/09/2001,Fulham,Arsenal,1,3,39,20012002
15/09/2001,Middlesbrough,West Ham,2,0,40,20012002
15/09/2001,Newcastle,Man United,4,3,41,20012002
16/09/2001,Aston Villa,Sunderland,0,0,42,20012002
16/09/2001,Charlton,Leeds,0,2,43,20012002
16/09/2001,Ipswich,Blackburn,1,1,44,20012002
16/09/2001,Tottenham,Chelsea,2,3,45,20012002
