,Position,ø-Age,Market value,ø-Market value,Unnamed: 4,TeamName,Year,marketValue
0,Goalkeeper,2720,"6,40 Mill. €","1,28 Mill. €",,West Ham,2005,6400000
1,Defender,2489,"16,90 Mill. €","1,88 Mill. €",,West Ham,2005,16900000
2,Forward,2438,"18,50 Mill. €","2,31 Mill. €",,West Ham,2005,18500000
3,Total:,2418,"46,40 Mill. €","1,41 Mill. €",,West Ham,2005,46400000
0,Goalkeeper,2867,"8,30 Mill. €","2,77 Mill. €",,West Ham,2006,8300000
1,Defender,2475,"24,15 Mill. €","2,01 Mill. €",,West Ham,2006,24150000
2,Forward,2478,"43,55 Mill. €","4,84 Mill. €",,West Ham,2006,43550000
3,Total:,2489,"105,83 Mill. €","3,02 Mill. €",,West Ham,2006,105830000
0,Goalkeeper,2967,"5,45 Mill. €","1,82 Mill. €",,West Ham,2007,5450000
1,Defender,2518,"22,90 Mill. €","2,08 Mill. €",,West Ham,2007,22900000
2,Forward,2288,"30,85 Mill. €","3,86 Mill. €",,West Ham,2007,30850000
3,Total:,2514,"114,05 Mill. €","3,17 Mill. €",,West Ham,2007,114050000
0,Goalkeeper,2500,"7,85 Mill. €","1,57 Mill. €",,West Ham,2008,7850000
1,Defender,2393,"29,05 Mill. €","2,08 Mill. €",,West Ham,2008,29050000
2,Forward,2330,"27,65 Mill. €","2,77 Mill. €",,West Ham,2008,27650000
3,Total:,2423,"114,70 Mill. €","2,87 Mill. €",,West Ham,2008,114700000
0,Goalkeeper,2300,"8,15 Mill. €","2,72 Mill. €",,West Ham,2009,8150000
1,Defender,2382,"29,45 Mill. €","2,68 Mill. €",,West Ham,2009,29450000
2,Forward,2373,"33,00 Mill. €","3,00 Mill. €",,West Ham,2009,33000000
3,Total:,2377,"118,30 Mill. €","3,38 Mill. €",,West Ham,2009,118300000
0,Goalkeeper,2200,"8,65 Mill. €","2,16 Mill. €",,West Ham,2010,8650000
1,Defender,2569,"41,55 Mill. €","3,20 Mill. €",,West Ham,2010,41550000
2,Forward,2357,"57,25 Mill. €","4,09 Mill. €",,West Ham,2010,57250000
3,Total:,2485,"158,95 Mill. €","3,97 Mill. €",,West Ham,2010,158950000
0,Goalkeeper,2471,"10,90 Mill. €","1,56 Mill. €",,West Ham,2011,10900000
1,Defender,2423,"22,25 Mill. €","1,71 Mill. €",,West Ham,2011,22250000
2,Forward,2279,"33,48 Mill. €","2,39 Mill. €",,West Ham,2011,33480000
3,Total:,2378,"121,73 Mill. €","2,48 Mill. €",,West Ham,2011,121730000
0,Goalkeeper,2667,"1,95 Mill. €",650 Th. €,,West Ham,2012,1950000
1,Defender,2418,"21,75 Mill. €","1,98 Mill. €",,West Ham,2012,21750000
2,Forward,2385,"51,00 Mill. €","3,92 Mill. €",,West Ham,2012,51000000
