1,,Manchester City,,-,,"1,07 Bill. €",32,"1,07 Bill. €",-,2010-01-01
2,,Chelsea FC,,-,,"967,75 Mill. €",37,"967,75 Mill. €",-,2010-01-01
3,,Liverpool FC,,-,,"912,50 Mill. €",32,"912,50 Mill. €",-,2010-01-01
4,,Manchester United,,-,,"851,00 Mill. €",31,"851,00 Mill. €",-,2010-01-01
5,,Tottenham Hotspur,,-,,"834,50 Mill. €",28,"834,50 Mill. €",-,2010-01-01
6,,Arsenal FC,,-,,"582,70 Mill. €",32,"582,70 Mill. €",-,2010-01-01
7,,Everton FC,,-,,"338,50 Mill. €",30,"338,50 Mill. €",-,2010-01-01
8,,West Ham United,,-,,"307,50 Mill. €",30,"307,50 Mill. €",-,2010-01-01
9,,Leicester City,,-,,"303,00 Mill. €",30,"303,00 Mill. €",-,2010-01-01
10,,Southampton FC,,-,,"235,35 Mill. €",28,"235,35 Mill. €",-,2010-01-01
11,,Watford FC,,-,,"189,50 Mill. €",36,"189,50 Mill. €",-,2010-01-01
12,,Crystal Palace,,-,,"181,33 Mill. €",25,"181,33 Mill. €",-,2010-01-01
13,,Newcastle United,,-,,"174,48 Mill. €",29,"174,48 Mill. €",-,2010-01-01
14,,Burnley FC,,-,,"156,75 Mill. €",24,"156,75 Mill. €",-,2010-01-01
15,,Brighton & Hove Albion,,-,,"154,10 Mill. €",30,"154,10 Mill. €",-,2010-01-01
16,,AFC Bournemouth,,-,,"134,75 Mill. €",26,"134,75 Mill. €",-,2010-01-01
17,,Wolverhampton Wanderers,,-,,"117,30 Mill. €",32,"117,30 Mill. €",-,2010-01-01
18,,Huddersfield Town,,-,,"117,10 Mill. €",31,"117,10 Mill. €",-,2010-01-01
19,,Fulham FC,,-,,"116,50 Mill. €",20,"116,50 Mill. €",-,2010-01-01
20,,Cardiff City,,-,,"56,40 Mill. €",32,"56,40 Mill. €",-,2010-01-01
 , ,Total value of all clubs, ,-,0.0,"7,80 Bill. € -",0,"7,80 Bill. €",-,2010-01-01
1,,Manchester City,Premier League,"532,25 Mill. €",24,"1,07 Bill. €",32,"536,25 Mill. €","100,8 %",2017-01-01
2,,Chelsea FC,Premier League,"531,80 Mill. €",28,"967,75 Mill. €",37,"435,95 Mill. €","82,0 %",2017-01-01
3,,Liverpool FC,Premier League,"379,70 Mill. €",28,"912,50 Mill. €",32,"532,80 Mill. €","140,3 %",2017-01-01
4,,Manchester United,Premier League,"548,25 Mill. €",27,"851,00 Mill. €",31,"302,75 Mill. €","55,2 %",2017-01-01
5,,Tottenham Hotspur,Premier League,"375,00 Mill. €",25,"834,50 Mill. €",28,"459,50 Mill. €","122,5 %",2017-01-01
6,,Arsenal FC,Premier League,"490,50 Mill. €",29,"582,70 Mill. €",32,"92,20 Mill. €","18,8 %",2017-01-01
7,,Everton FC,Premier League,"248,25 Mill. €",28,"338,50 Mill. €",30,"90,25 Mill. €","36,4 %",2017-01-01
8,,West Ham United,Premier League,"246,40 Mill. €",28,"307,50 Mill. €",30,"61,10 Mill. €","24,8 %",2017-01-01
9,,Leicester City,Premier League,"215,50 Mill. €",26,"303,00 Mill. €",30,"87,50 Mill. €","40,6 %",2017-01-01
10,,Southampton FC,Premier League,"205,00 Mill. €",27,"235,35 Mill. €",28,"30,35 Mill. €","14,8 %",2017-01-01
11,,Watford FC,Premier League,"122,00 Mill. €",28,"189,50 Mill. €",36,"67,50 Mill. €","55,3 %",2017-01-01
12,,Crystal Palace,Premier League,"161,25 Mill. €",26,"181,33 Mill. €",25,"20,08 Mill. €","12,4 %",2017-01-01
13,,Newcastle United,Championship,"127,35 Mill. €",27,"174,48 Mill. €",29,"47,13 Mill. €","37,0 %",2017-01-01
14,,Burnley FC,Premier League,"69,00 Mill. €",22,"156,75 Mill. €",24,"87,75 Mill. €","127,2 %",2017-01-01
15,,Brighton & Hove Albion,Championship,"47,85 Mill. €",27,"154,10 Mill. €",30,"106,25 Mill. €","222,0 %",2017-01-01
16,,AFC Bournemouth,Premier League,"121,75 Mill. €",27,"134,75 Mill. €",26,"13,00 Mill. €","10,7 %",2017-01-01
17,,Wolverhampton Wanderers,Championship,"49,80 Mill. €",30,"117,30 Mill. €",32,"67,50 Mill. €","135,5 %",2017-01-01
18,,Huddersfield Town,Championship,"18,95 Mill. €",24,"117,10 Mill. €",31,"98,15 Mill. €","517,9 %",2017-01-01
19,,Fulham FC,Championship,"55,90 Mill. €",26,"116,50 Mill. €",20,"60,60 Mill. €","108,4 %",2017-01-01
20,,Cardiff City,Championship,"40,80 Mill. €",28,"56,40 Mill. €",32,"15,60 Mill. €","38,2 %",2017-01-01
 , ,Total value of all clubs, ,"4,59 Bill. €",535,"7,80 Bill. €  ",0,"3,21 Bill. €","70,0 %",2017-01-01
1,,Manchester City,Premier League,"473,50 Mill. €",26,"1,07 Bill. €",32,"595,00 Mill. €","125,7 %",2014-01-01
2,,Chelsea FC,Premier League,"459,50 Mill. €",26,"967,75 Mill. €",37,"508,25 Mill. €","110,6 %",2014-01-01
3,,Liverpool FC,Premier League,"285,50 Mill. €",24,"912,50 Mill. €",32,"627,00 Mill. €","219,6 %",2014-01-01
4,,Manchester United,Premier League,"408,50 Mill. €",32,"851,00 Mill. €",31,"442,50 Mill. €","108,3 %",2014-01-01
5,,Tottenham Hotspur,Premier League,"315,50 Mill. €",25,"834,50 Mill. €",28,"519,00 Mill. €","164,5 %",2014-01-01
6,,Arsenal FC,Premier League,"355,50 Mill. €",30,"582,70 Mill. €",32,"227,20 Mill. €","63,9 %",2014-01-01
7,,Everton FC,Premier League,"168,30 Mill. €",26,"338,50 Mill. €",30,"170,20 Mill. €","101,1 %",2014-01-01
8,,West Ham United,Premier League,"96,25 Mill. €",27,"307,50 Mill. €",30,"211,25 Mill. €","219,5 %",2014-01-01
9,,Leicester City,Championship,"29,35 Mill. €",26,"303,00 Mill. €",30,"273,65 Mill. €","932,4 %",2014-01-01
10,,Southampton FC,Premier League,"112,25 Mill. €",23,"235,35 Mill. €",28,"123,10 Mill. €","109,7 %",2014-01-01
11,,Watford FC,Championship,"33,45 Mill. €",29,"189,50 Mill. €",36,"156,05 Mill. €","466,5 %",2014-01-01
12,,Crystal Palace,Premier League,"59,25 Mill. €",32,"181,33 Mill. €",25,"122,08 Mill. €","206,0 %",2014-01-01
13,,Newcastle United,Premier League,"167,25 Mill. €",26,"174,48 Mill. €",29,"7,23 Mill. €","4,3 %",2014-01-01
14,,Burnley FC,Championship,"18,48 Mill. €",22,"156,75 Mill. €",24,"138,28 Mill. €","748,4 %",2014-01-01
15,,Brighton & Hove Albion,Championship,"26,08 Mill. €",28,"154,10 Mill. €",30,"128,03 Mill. €","491,0 %",2014-01-01
16,,AFC Bournemouth,Championship,"13,00 Mill. €",33,"134,75 Mill. €",26,"121,75 Mill. €","936,5 %",2014-01-01
17,,Wolverhampton Wanderers,League One,"23,65 Mill. €",28,"117,30 Mill. €",32,"93,65 Mill. €","396,0 %",2014-01-01
18,,Huddersfield Town,Championship,"13,58 Mill. €",25,"117,10 Mill. €",31,"103,53 Mill. €","762,6 %",2014-01-01
19,,Fulham FC,Premier League,"98,50 Mill. €",26,"116,50 Mill. €",20,"18,00 Mill. €","18,3 %",2014-01-01
20,,Cardiff City,Premier League,"75,00 Mill. €",28,"56,40 Mill. €",32,"-18,60 Mill. €","-24,8 %",2014-01-01
 , ,Total value of all clubs, ,"3,23 Bill. €",542,"7,80 Bill. €  ",0,"4,57 Bill. €","141,3 %",2014-01-01
1,,Manchester City,Premier League,"357,30 Mill. €",27,"1,07 Bill. €",32,"711,20 Mill. €","199,0 %",2011-01-01
2,,Chelsea FC,Premier League,"362,00 Mill. €",23,"967,75 Mill. €",37,"605,75 Mill. €","167,3 %",2011-01-01
3,,Liverpool FC,Premier League,"275,25 Mill. €",25,"912,50 Mill. €",32,"637,25 Mill. €","231,5 %",2011-01-01
4,,Manchester United,Premier League,"369,50 Mill. €",29,"851,00 Mill. €",31,"481,50 Mill. €","130,3 %",2011-01-01
5,,Tottenham Hotspur,Premier League,"292,75 Mill. €",29,"834,50 Mill. €",28,"541,75 Mill. €","185,1 %",2011-01-01
6,,Arsenal FC,Premier League,"298,00 Mill. €",24,"582,70 Mill. €",32,"284,70 Mill. €","95,5 %",2011-01-01
7,,Everton FC,Premier League,"176,40 Mill. €",22,"338,50 Mill. €",30,"162,10 Mill. €","91,9 %",2011-01-01
8,,West Ham United,Premier League,"116,65 Mill. €",30,"307,50 Mill. €",30,"190,85 Mill. €","163,6 %",2011-01-01
9,,Leicester City,Championship,"36,85 Mill. €",32,"303,00 Mill. €",30,"266,15 Mill. €","722,3 %",2011-01-01
10,,Southampton FC,League One,"15,00 Mill. €",27,"235,35 Mill. €",28,"220,35 Mill. €","1,469,0 %",2011-01-01
11,,Watford FC,Championship,"10,50 Mill. €",23,"189,50 Mill. €",36,"179,00 Mill. €","1,704,8 %",2011-01-01
12,,Crystal Palace,Championship,"15,15 Mill. €",28,"181,33 Mill. €",25,"166,18 Mill. €","1,096,9 %",2011-01-01
13,,Newcastle United,Premier League,"78,88 Mill. €",27,"174,48 Mill. €",29,"95,60 Mill. €","121,2 %",2011-01-01
