AwayTeam,HomeTeam,awaySelectionId,drawSelectionId,homeSelectionId,draw,marketId,marketStartTime,totalMatched,eventId,eventName,homeOdds,drawOdds,awayOdds,competitionId
Arsenal,Cardiff,1096,58805,79343,The Draw,1.146897152,2018-09-02T12:30:00.000Z,30123.595115999997,28852020,Cardiff v Arsenal,7,4.3,1.62,10932509
Bournemouth,Chelsea,1141,58805,55190,The Draw,1.146875421,2018-09-01T14:00:00.000Z,30821.329655999998,28851426,Chelsea v Bournemouth,1.32,6.8,12,10932509
Fulham,Brighton,56764,58805,18567,The Draw,1.146875746,2018-09-01T14:00:00.000Z,16594.833096,28851429,Brighton v Fulham,2.36,3.5,3.5,10932509
Huddersfield,Everton,78984,58805,56343,The Draw,1.146876071,2018-09-01T14:00:00.000Z,24559.07634,28851432,Everton v Huddersfield,1.54,4.4,8.2,10932509
Liverpool,Leicester,56323,58805,48461,The Draw,1.146875259,2018-09-01T11:30:00.000Z,84998.44944,28851425,Leicester v Liverpool,7.8,5.1,1.48,10932509
Man Utd,Burnley,48351,58805,56299,The Draw,1.146897314,2018-09-02T15:00:00.000Z,17418.559463999998,28852021,Burnley v Man Utd,6.6,3.9,1.7,10932509
Newcastle,Man City,25422,58805,47999,The Draw,1.146952249,2018-09-01T16:30:00.000Z,77232.656088,28854367,Man City v Newcastle,1.12,12.5,32,10932509
Southampton,C Palace,58943,58805,52689,The Draw,1.146875583,2018-09-01T14:00:00.000Z,25717.665996,28851428,C Palace v Southampton,2.04,3.55,4.5,10932509
Tottenham,Watford,48224,58805,56301,The Draw,1.146952086,2018-09-02T15:00:00.000Z,17468.871696,28854366,Watford v Tottenham,5.9,4.3,1.68,10932509
Wolves,West Ham,48044,58805,48756,The Draw,1.146875909,2018-09-01T14:00:00.000Z,19760.243544,28851430,West Ham v Wolves,2.62,3.5,2.98,10932509
